time,temperature,temperature_f
2026-05-08T18:00,14.7,58.459999999999994
2026-05-08T19:00,15.1,59.18
2026-05-08T20:00,14.5,58.1
2026-05-08T21:00,14.9,58.82
2026-05-08T22:00,14.7,58.459999999999994
2026-05-08T23:00,14.2,57.56
2026-05-09T00:00,13.6,56.48
2026-05-09T01:00,13.1,55.58
2026-05-09T02:00,12.5,54.5
2026-05-09T03:00,12.0,53.6
2026-05-09T04:00,11.8,53.24
2026-05-09T05:00,11.8,53.24
2026-05-09T06:00,11.8,53.24
2026-05-09T07:00,11.8,53.24
2026-05-09T08:00,11.8,53.24
2026-05-09T09:00,11.8,53.24
2026-05-09T10:00,11.9,53.42
2026-05-09T11:00,11.9,53.42
2026-05-09T12:00,12.1,53.78
2026-05-09T13:00,12.7,54.86
2026-05-09T14:00,13.5,56.3
2026-05-09T15:00,13.8,56.84
2026-05-09T16:00,13.6,56.48
2026-05-09T17:00,12.9,55.22
2026-05-09T18:00,12.2,53.96
2026-05-09T19:00,11.4,52.52
2026-05-09T20:00,10.6,51.08
2026-05-09T21:00,10.0,50.0
2026-05-09T22:00,10.2,50.36
2026-05-09T23:00,10.6,51.08
2026-05-10T00:00,10.9,51.620000000000005
2026-05-10T01:00,10.8,51.44
2026-05-10T02:00,10.6,51.08
2026-05-10T03:00,10.3,50.54
2026-05-10T04:00,10.1,50.18
2026-05-10T05:00,9.8,49.64
2026-05-10T06:00,9.6,49.28
2026-05-10T07:00,9.4,48.92
2026-05-10T08:00,9.2,48.56
2026-05-10T09:00,9.3,48.74
2026-05-10T10:00,9.7,49.46
2026-05-10T11:00,10.4,50.72
2026-05-10T12:00,11.4,52.52
2026-05-10T13:00,13.0,55.4
2026-05-10T14:00,14.9,58.82
2026-05-10T15:00,16.5,61.7
2026-05-10T16:00,17.8,64.04
2026-05-10T17:00,18.9,66.02
2026-05-10T18:00,19.7,67.46
2026-05-10T19:00,20.2,68.36
2026-05-10T20:00,20.3,68.54
2026-05-10T21:00,20.1,68.18
2026-05-10T22:00,19.7,67.46
2026-05-10T23:00,18.9,66.02
